"","ISO_FISH_N","CODE","D13C.otolith","D13C.tissue","D15N","D18O_VPDB","YSAMP_N","GEN_N","SPECIES","LENGTH","WEIGHT"
"1","LLS.LML.051922.BEF.001","LLS",-12.37,-23.71,8.22,-8.28,"BEF.LML.2022.024","GEN.LLS.LML.051922.042","LLS",115,NA
"2","ST.LML.051822.BEF.002","ST",-17.31,NA,NA,-8.51,"BEF.LML.2022.018","GEN.ST.LML.051822.082","ST",105,NA
"3","LT.LML.050322.GLN.001","LT",-12.05,NA,NA,-5.73,"GLN.LML.2022.001","","LT",618,2135
"4","LT.LML.050322.GLN.002","LT",-12.68,NA,NA,-4.63,"GLN.LML.2022.002","","LT",535,1156
"5","LT.LML.050322.GLN.004","LT",-12.5,NA,NA,-5.32,"GLN.LML.2022.005","","LT",549,1369
"6","LT.LML.050322.GLN.005","LT",-12.78,NA,NA,-5.26,"GLN.LML.2022.005","","LT",497,1012
"7","LT.LML.050322.GLN.005","LT",-12.61,NA,NA,-5.01,"GLN.LML.2022.005","","LT",497,1012
"8","LT.LML.050322.GLN.005","LT",-12.78,NA,NA,-5.67,"GLN.LML.2022.005","","LT",497,1012
"9","LT.LML.050322.GLN.008","LT",-12.16,NA,NA,-5.11,"GLN.LML.2022.010","","LT",761,3750
"10","MM.LML.092221.BEF.012","MM",-13.1,-25.17,6.32,-8.14,"BEF.LML.2021.123","GEN.MM.LML.092221.085","MM",77,5.18
"11","WS.LML.092221.BEF.004","WS",-11.68,-21.54,4.9,-9.04,"BEF.LML.2021.123","GEN.WS.LML.092221.086","WS",93,7.95
"12","MM.LML.092221.BEF.010","MM",-14.18,NA,NA,-8.01,"BEF.LML.2021.121","GEN.MM.LML.092221.082","MM",86,7.53
"13","CC.LML.092221.BEF.003","CC",-14.25,-23.64,6.26,-8.66,"BEF.LML.2021.121","GEN.CC.LML.092221.063","CC",104,11.2
"14","CC.LML.092221.BEF.004","CC",-16.94,-25.73,6,-8.75,"BEF.LML.2021.121","GEN.CC.LML.092221.064","CC",106,11.4
"15","CC.LML.092221.BEF.005","CC",-14.55,-24.31,6.52,-8.25,"BEF.LML.2021.121","GEN.CC.LML.092221.065","CC",162,45.6
"16","CS.LML.092221.BEF.020","CS",-16.43,-27.19,7.31,-9.01,"BEF.LML.2021.121","GEN.CS.LML.092221.068","CS",119,17.9
"17","CS.LML.092221.BEF.021","CS",-15.01,-24.28,5.63,-8.4,"BEF.LML.2021.121","GEN.CS.LML.092221.069","CS",103,11.1
"18","CS.LML.092221.BEF.023","CS",-14.49,-24.31,5.68,-8.71,"BEF.LML.2021.121","GEN.CS.LML.092221.071","CS",99,10.7
"19","CS.LML.092221.BEF.010","CS",-15.87,-24.86,5.58,-8.73,"BEF.LML.2021.120","GEN.CS.LML.092221.047","CS",77,4.6
"20","CS.LML.092221.BEF.014","CS",-13.73,-23.14,5.9,-8.95,"BEF.LML.2021.120","GEN.CS.LML.092221.051","CS",119,18
"21","PS.LML.092221.BEF.027","PS",-14.14,-23.84,7.06,-8.35,"BEF.LML.2021.120","GEN.PS.LML.092221.055","PS",111,23.8
"22","CC.LML.092221.BEF.001","CC",-16.91,-26.99,6.24,-8.51,"BEF.LML.2021.119","GEN.CC.LML.092221.035","CC",128,20.7
"23","CC.LML.092221.BEF.002","CC",-13.89,-22.01,6.12,-8.8,"BEF.LML.2021.119","GEN.CC.LML.092221.036","CC",97,9
"24","MM.LML.092221.BEF.001","MM",-10.33,-24.24,5.17,-7.5,"BEF.LML.2021.119","GEN.MM.LML.092221.037","MM",64,3.1
"25","MM.LML.092221.BEF.003","MM",-9.64,-22.34,5.66,-7.98,"BEF.LML.2021.119","GEN.MM.LML.092221.039","MM",50,1.4
"26","MM.LML.092221.BEF.004","MM",-12.31,-24.93,5.46,-7.89,"BEF.LML.2021.119","GEN.MM.LML.092221.040","MM",63,3
"27","MM.LML.092221.BEF.005","MM",-11.25,-23.14,5.63,-8.14,"BEF.LML.2021.119","GEN.MM.LML.092221.041","MM",67,3.8
"28","MM.LML.092221.BEF.008","MM",-9.28,-20.82,6.33,-8.07,"BEF.LML.2021.119","GEN.MM.LML.092221.044","MM",64,2.8
"29","WS.LML.092221.BEF.001","WS",-14.28,-22.04,5.73,-8.55,"BEF.LML.2021.119","GEN.WS.LML.092221.016","WS",202,112.4
"30","WS.LML.092221.BEF.002","WS",-12.12,-21.55,5.44,-8.72,"BEF.LML.2021.119","GEN.WS.LML.092221.017","WS",88,7.5
"31","WS.LML.092221.BEF.003","WS",-13.77,-26.78,4.61,-6.73,"BEF.LML.2021.119","GEN.WS.LML.092221.018","WS",75,4.6
"32","CS.LML.092221.BEF.002","CS",-15.6,-24.68,6.18,-8.66,"BEF.LML.2021.119","GEN.CS.LML.092221.019","CS",70,3.05
"33","CS.LML.092221.BEF.009","CS",-15.71,-24.81,5.98,-8.76,"BEF.LML.2021.119","GEN.CS.LML.092221.026","CS",70,2.99
"34","WS.LML.092221.BEF.005","WS",-9.83,-20.04,5.07,-7.63,"BEF.LML.2021.124","GEN.WS.LML.092221.104","WS",NA,NA
"35","PS.LML.092221.BEF.037","PS",-14.41,NA,NA,-8.33,"BEF.LML.2021.121","GEN.PS.LML.092221.075","PS",73,5.73
"36","PS.LML.092221.BEF.039","PS",-14.48,NA,NA,-8.31,"BEF.LML.2021.121","GEN.PS.LML.092221.077","PS",61,3.61
"37","PS.LML.092221.BEF.017","PS",-14.7,NA,NA,-8.56,"BEF.LML.2021.117","GEN.PS.LML.092221.011","PS",77,7.6
"38","PS.LML.092221.BEF.018","PS",-14.94,NA,NA,-8.22,"BEF.LML.2021.117","GEN.PS.LML.092221.014","PS",55,2.3
"39","PS.LML.092221.BEF.003","PS",-12.05,NA,NA,-8.58,"BEF.LML.2021.115","GEN.PS.LML.092221.012","PS",91,13
"40","PS.LML.092221.BEF.008","PS",-12.75,NA,NA,-8.63,"BEF.LML.2021.115","GEN.PS.LML.092221.083","PS",102,17.7
"41","SS.LML.051822.BEF.002","SS",-13.8,-27.5,7.44,-6.32,"BEF.LML.2022.012","GEN.SS.LML.051822.069","SS",68,NA
"42","SS.LML.051822.BEF.003","SS",-13.67,-24.68,6.93,-6.73,"BEF.LML.2022.012","GEN.SS.LML.051822.070","SS",56,NA
"43","SS.LML.051822.BEF.001","SS",-13.06,-24.58,7.36,-5.93,"BEF.LML.2022.010","GEN.SS.LML.051822.066","SS",53,NA
"44","SS.LML.051822.BEF.006","SS",-12.57,-24.48,7.31,-6.94,"BEF.LML.2022.017","GEN.SS.LML.051822.079","SS",72,NA
"45","CC.LML.051822.BEF.005","CC",-12.85,-25.6,8.51,-6.22,"BEF.LML.2022.021","GEN.CC.LML.051822.088","CC",106,NA
"46","CC.LML.051822.BEF.003","CC",-14.9,-25.68,6.06,-8.04,"BEF.LML.2022.019","GEN.CC.LML.051822.085","CC",54,NA
"47","RS.LML.051822.BEF.006","RS",-12.9,-28.82,8.35,-4.26,"BEF.LML.2022.013","GEN.RS.LML.051822.074","RS",79,NA
"48","RS.LML.051822.BEF.005","RS",-14.67,-30.53,10.02,-6.72,"BEF.LML.2022.013","GEN.RS.LML.051822.073","RS",71,NA
"49","RS.LML.051822.BEF.003","RS",-14.59,-29.52,9.11,-7.38,"BEF.LML.2022.013","GEN.RS.LML.051822.071","RS",80,NA
"50","RS.LML.051822.BEF.002","RS",-12.46,-27.6,7.24,-4.73,"BEF.LML.2022.012","GEN.RS.LML.051822.068","RS",80,NA
"51","RS.LML.051822.BEF.001","RS",-14.43,-28.99,8.96,-6.8,"BEF.LML.2022.012","GEN.RS.LML.051822.067","RS",73,NA
"52","RS.LML.051822.BEF.004","RS",-14.07,-28.12,8.33,-7.11,"BEF.LML.2022.013","GEN.RS.LML.051822.072","RS",82,NA
"53","CC.LML.051822.BEF.001","CC",-14.94,-25.77,6.75,-8.69,"BEF.LML.2022.018","GEN.CC.LML.051822.080","CC",42,NA
"54","ST.LML.051822.BEF.003","ST",-17.01,-26.09,6.75,-9.64,"BEF.LML.2022.018","GEN.ST.LML.051822.083","ST",109,NA
"55","CC.LML.051822.BEF.002","CC",-15.31,-26.58,6.12,-5.76,"BEF.LML.2022.019","GEN.CC.LML.051822.084","CC",90,NA
"56","ST.LML.051922.BEF.001","ST",-16.56,-26.47,7.24,-9.14,"BEF.LML.2022.024","GEN.ST.LML.051922.043","ST",117,NA
"57","CC.LML.051822.BEF.006","CC",-14.55,-25.39,6.14,-9.01,"BEF.LML.2022.022","GEN.CC.LML.051822.089","CC",59,NA
"58","ST.LML.051822.BEF.004","ST",-17.09,-27.65,8.62,-8.6,"BEF.LML.2022.019","GEN.ST.LML.051822.086","ST",187,NA
"59","LLS.LML.051922.BEF.002","LLS",-15.84,NA,NA,-7.02,"BEF.LML.2022.032","GEN.LLS.LML.051922.044","LLS",398,NA
"60","ST.LML.051822.BEF.001","ST",-17.29,-28.53,7.68,-9.31,"BEF.LML.2022.018","GEN.ST.LML.051822.081","ST",127,NA
"61","LLS.LML.051822.BEF.002","LLS",-13.1,-30.92,7.44,-6.87,"BEF.LML.2022.017","GEN.LLS.LML.051822.078","LLS",93,NA
"62","LLS.LML.051822.BEF.002","LLS",-13.1,-28.49,8.21,-6.87,"BEF.LML.2022.017","GEN.LLS.LML.051822.078","LLS",93,NA
"63","LLS.LML.051822.BEF.001","LLS",-13.57,-26.91,8.04,-7.37,"BEF.LML.2022.014","GEN.LLS.LML.051822.077","LLS",550,NA
"64","SMB.LML.092121.BEF.064","SMB",-14.47,NA,NA,-8.68,"BEF.LML.2021.108","","SMB",120,25
"65","SMB.LML.092121.BEF.067","SMB",-13.89,NA,NA,-8.63,"BEF.LML.2021.108","","SMB",105,18
"66","SMB.LML.092121.BEF.068","SMB",-13.61,NA,NA,-7.82,"BEF.LML.2021.108","","SMB",102,16
"67","SMB.LML.092121.BEF.069","SMB",-14.08,NA,NA,-8.54,"BEF.LML.2021.108","","SMB",106,16
"68","SMB.LML.092121.BEF.070","SMB",-13.71,NA,NA,-8.35,"BEF.LML.2021.110","","SMB",195,107
"69","SMB.LML.092221.BEF.001","SMB",-11.69,NA,NA,-8.43,"BEF.LML.2021.111","","SMB",226,171
"70","SMB.LML.092221.BEF.005","SMB",-13.5,NA,NA,-8.12,"BEF.LML.2021.111","","SMB",157,59
"71","SMB.LML.092221.BEF.006","SMB",-11.89,NA,NA,-8.32,"BEF.LML.2021.112","","SMB",176,83
"72","SMB.LML.092321.BEF.005","SMB",-9.17,NA,NA,-7.97,"BEF.LML.2021.128","","SMB",340,640
"73","ST.LML.102821.TPN.001","ST",-16.94833573,NA,NA,-9.556775846,"TPN.LML.2021.001","","ST",136,22
"74","ST.LML.102821.TPN.002","ST",-15.82876647,NA,NA,-8.784281356,"TPN.LML.2021.001","","ST",168,37
